Sample,d18O,Year_End,Year_Begin,Year_Avg,Spread
1,NA,2023,2021,2022,2
2,-2.90,2021,2017,2019,4
3,-2.96,2016,2013,2015,3
4,-2.81,2012,2009,2011,3
5,-2.94,2008,2006,2007,2
6,-2.72,2005,2003,2004,2
7,NA,2003,2001,2002,2
8,NA,2001,1999,2000,2
9,-2.94,1999,1998,1999,1
10,-2.90,1997,1996,1997,1
11,-2.85,1996,1994,1995,2
12,-3.02,1993,1992,1993,1
13,-2.79,1991,1989,1990,2
14,-2.87,1988,1986,1987,2
15,NA,1985,1983,1984,2
16,-2.30,1982,1981,1982,1
17,-2.73,1981,1979,1980,2
18,-2.50,1978,1977,1978,1
19,-2.60,1977,1975,1976,2
20,-2.43,1974,1973,1974,1
21,-2.60,1973,1972,1973,1